Category,Num,Name,MSB,LSB,PC
Ac.Piano,PR001,Concert Piano,71,96,1
Ac.Piano,PR002,Mellow Grand,71,96,2
Ac.Piano,PR003,Grand XV,71,96,3
Ac.Piano,PR004,Nice Piano,71,96,4
Ac.Piano,PR005,Rocker Piano,71,96,5
Ac.Piano,PR006,Piano Thang,71,96,6
Ac.Piano,PR007,Magical Piano,71,96,7
Ac.Piano,PR008,Piano+Str Layer,71,96,8
Ac.Piano,PR009,WarmVoxPiano,71,96,9
Ac.Piano,PR010,Bright Honkey,71,96,10
Ac.Piano,PR011,Power Octs,71,96,11
Ac.Piano,PR012,Tape MellowGrand,71,96,12
Ac.Piano,PR013,Tiny Piano,71,96,13
Ac.Piano,PR014,LoFi Ac.Piano,71,96,14
Ac.Piano,PR015,Nostalgic Piano,71,96,15
Ac.Piano,PR016,Dynamic JD-Piano,71,96,16
Ac.Piano,PR017,Reverse Piano 1,71,96,17
Ac.Piano,CM001,Piano 1,87,85,1
Ac.Piano,CM002,Piano 1 w,87,85,2
Ac.Piano,CM003,Piano 1 d,87,85,3
Ac.Piano,CM004,Piano 1 Bright,87,85,4
Ac.Piano,CM005,Piano 1 Amp,87,85,5
Ac.Piano,CM006,Piano 1 w 2,87,85,6
Ac.Piano,CM007,Piano + Str 1,87,85,7
Ac.Piano,CM008,Piano + Str 2,87,85,8
Ac.Piano,CM009,Piano + Choir 1,87,85,9
Ac.Piano,CM010,Piano + Choir 2,87,85,10
Ac.Piano,CM011,Piano + Pad 1,87,85,11
Ac.Piano,CM012,Piano + Pad 2,87,85,12
Ac.Piano,CM013,Healing Piano,87,85,13
Ac.Piano,CM014,Piano Vib,87,85,14
Ac.Piano,CM015,Piano Dly,87,85,15
Ac.Piano,CM016,Piano 2,87,85,16
Ac.Piano,CM017,Piano 2 w,87,85,17
Ac.Piano,CM018,JD Piano,87,85,18
Ac.Piano,CM019,JD Piano w,87,85,19
Pop Piano,PR018,SA Piano,71,96,18
Pop Piano,PR019,Mixture Piano,71,96,19
Pop Piano,PR020,Pop Toy,71,96,20
Pop Piano,CM023,Honky-tonk,87,85,23
Pop Piano,CM024,Honky-tonk w,87,85,24
Pop Piano,CM025,Honky-tonk w 2,87,85,25
E.Grand Piano,PR021,70s E.Grand (Yamaha CP70?),71,96,21
E.Grand Piano,CM020,Piano 3,87,85,20
E.Grand Piano,CM021,Piano 3 w,87,85,21
E.Grand Piano,CM022,Piano 3 w 2,87,85,22
E.Piano1,PR022,70s Suitcase (Rhodes?),71,96,22
E.Piano1,PR023,Lite Tine EP,71,96,23
E.Piano1,PR024,Lite Pop EP,71,96,24
E.Piano1,PR025,Soft Stage EP,71,96,25
E.Piano1,PR026,Wurly Vibrato,71,96,26
E.Piano1,PR027,Vintage Phase EP (Rhodes?),71,96,27
E.Piano1,PR028,Phase EP Mix (Rhodes?),71,96,28
E.Piano1,PR029,EP 90 Phaser,71,96,29
E.Piano1,PR030,Vortex EP,71,96,30
E.Piano1,PR031,Flicker Piano,71,96,31
E.Piano1,PR032,Suitcase EP OD,71,96,32
E.Piano1,PR033,EP Wah,71,96,33
E.Piano1,PR034,LoFi E.Piano,71,96,34
E.Piano1,CM026,E.Piano 1 (Rhodes?),87,85,26
E.Piano1,CM027,E.Piano 1 w,87,85,27
E.Piano1,CM028,E.Piano 1 Trem,87,85,28
E.Piano1,CM029,Detuned EP 1,87,85,29
E.Piano1,CM030,Vintage EP,87,85,30
E.Piano1,CM031,60s E.Piano,87,85,31
E.Piano1,CM032,60s E.Piano w,87,85,32
E.Piano1,CM033,60s E.Piano Trem,87,85,33
E.Piano1,CM034,Tremolo EP (Rhodes?),87,85,34
E.Piano1,CM035,Tremolo EP w,87,85,35
E.Piano1,CM036,Curly Wurly,87,85,36
E.Piano1,CM037,Sinus EP,87,85,37
E.Piano2,PR035,More Tine EP (Yamaha DX7?),71,96,35
E.Piano2,PR036,80s FM EP (Yamaha DX7?),71,96,36
E.Piano2,PR037,MK-80 Bright EP (Yamaha DX7?),71,96,37
E.Piano2,PR038,Mood Azure,71,96,38
E.Piano2,PR039,Mixture EP,71,96,39
E.Piano2,CM038,E.Piano 2 (Yamaha DX7?),87,85,38
E.Piano2,CM039,E.Piano 2 w (Yamaha DX7?),87,85,39
E.Piano2,CM040,Detuned EP 2  (Yamaha DX7?),87,85,40
E.Piano2,CM041,St.FM EP,87,85,41
E.Piano2,CM042,St.FM EP w,87,85,42
E.Piano2,CM043,EP Legend,87,85,43
E.Piano2,CM044,EP Legend w,87,85,44
E.Piano2,CM045,EP Phaser 1 (Rhodes?),87,85,45
E.Piano2,CM046,EP Phaser 2,87,85,46
E.Piano2,CM047,EP Phaser 3,87,85,47
E.Piano2,CM048,EP Belle,87,85,48
Ensemble Strings,PR040,Rich Strings,71,96,40
Ensemble Strings,PR041,Full Strings,71,96,41
Ensemble Strings,PR042,Decay Strings,71,96,42
Ensemble Strings,PR043,Strings/Pizz,71,96,43
Ensemble Strings,PR044,CharacterStrings,71,96,44
Ensemble Strings,PR045,Chamber Strings,71,96,45
Ensemble Strings,PR046,LoFi Strings,71,96,46
Ensemble Strings,PR047,Phono Strings,71,96,47
Ensemble Strings,PR048,Ending Scene,71,96,48
Ensemble Strings,CM317,Tremolo Str,87,87,61
Ensemble Strings,CM318,Pizzicato Str,87,87,62
Ensemble Strings,CM319,Pizzicato Str w,87,87,63
Ensemble Strings,CM320,Pizz,87,87,64
Ensemble Strings,CM321,Pops Seq 4,87,87,65
Ensemble Strings,CM322,Pops Seq 4 w,87,87,66
Ensemble Strings,CM331,Strings,87,87,75
Ensemble Strings,CM332,Orchestra,87,87,76
Ensemble Strings,CM333,60s Strings,87,87,77
Ensemble Strings,CM334,Small Strings,87,87,78
Ensemble Strings,CM335,Hybrid Strings,87,87,79
Ensemble Strings,CM336,Small Str Stacc,87,87,80
Ensemble Strings,CM337,Strings Stacc,87,87,81
Ensemble Strings,CM338,Strings Stacc w,87,87,82
Ensemble Strings,CM339,Strings Amp,87,87,83
Ensemble Strings,CM340,Slow Strings,87,87,84
Ensemble Strings,CM341,Mood Strings,87,87,85
Solo Strings,PR049,Pop Violin,71,96,49
Solo Strings,PR050,Pop Viola,71,96,50
Solo Strings,PR051,Pop Cello,71,96,51
Solo Strings,PR052,Pop Contrabass,71,96,52
Solo Strings,PR053,String Solo,71,96,53
Solo Strings,CM307,Violin,87,87,51
Solo Strings,CM308,Slow Violin,87,87,52
Solo Strings,CM309,Violin w,87,87,53
Solo Strings,CM310,Violin Amp,87,87,54
Solo Strings,CM311,Viola,87,87,55
Solo Strings,CM312,Viola Amp,87,87,56
Solo Strings,CM313,Cello,87,87,57
Solo Strings,CM314,Cello Amp,87,87,58
Solo Strings,CM315,Contrabass,87,87,59
Solo Strings,CM316,Contrabass Amp,87,87,60
Solo Strings,CM750,Fiddle,87,90,110
Solo Strings,CM751,Fiddle w,87,90,111
Synth Lead,PR054,Clear Dual Saws,71,96,54
Synth Lead,PR055,FXM Saw Lead,71,96,55
Synth Lead,PR056,Tight Saw Lead,71,96,56
Synth Lead,PR057,Mild Saw Lead,71,96,57
Synth Lead,PR058,Wind Syn Lead,71,96,58
Synth Lead,PR059,Dual SuperSaw Ld,71,96,59
Synth Lead,PR060,NSoul Synth Lead,71,96,60
Synth Lead,PR061,Windy Synth,71,96,61
Synth Lead,PR062,Textured Touch,71,96,62
Synth Lead,PR063,Driven OB,71,96,63
Synth Lead,PR064,Dual Sqr Lead,71,96,64
Synth Lead,PR065,Next Sqr Lead,71,96,65
Synth Lead,PR066,Blow Lead,71,96,66
Synth Lead,PR067,LqFunk Syn Lead,71,96,67
Synth Lead,PR068,Pale Sine,71,96,68
Synth Lead,PR069,Modern Vintage,71,96,69
Synth Lead,PR070,Organic Lead,71,96,70
Synth Lead,PR071,Linear Lead,71,96,71
Synth Lead,PR072,Synth Hero,71,96,72
Synth Lead,PR073,Be Happy OctLead,71,96,73
Synth Lead,PR074,SpkPop Syn Lead,71,96,74
Synth Lead,PR075,Irish Finite Ld,71,96,75
Synth Lead,PR076,Billa-Lead,71,96,76
Synth Lead,PR077,Rind Mod Lead,71,96,77
Synth Lead,PR078,ZenoPoly,71,96,78
Synth Lead,PR079,ZenoLead 8000,71,96,79
Synth Lead,PR080,Big Room Lead,71,96,80
Synth Lead,PR081,3 Analog OSC,71,96,81
Synth Lead,PR082,X-MOD Lead,71,96,82
Synth Lead,PR083,HiPitch Buzz Ld,71,96,83
Synth Lead,PR084,Buzz Sucker,71,96,84
Synth Lead,PR085,Sync Ld Mono,71,96,85
Synth Lead,PR086,SyncModulate,71,96,86
Synth Lead,CM475,Square Lead 1,87,88,91
Synth Lead,CM476,Square Lead 2,87,88,92
Synth Lead,CM477,Sine Lead,87,88,93
Synth Lead,CM478,Porta Sine Lead,87,88,94
Synth Lead,CM479,Pure Lead Dly,87,88,95
Synth Lead,CM480,Dist Flt TB 2,87,88,96
Synth Lead,CM481,Dist Flt TB 1,87,88,97
Synth Lead,CM482,DistFlt TB 1 Dly,87,88,98
Synth Lead,CM483,80’s Tech Lead,87,88,99
Synth Lead,CM484,Sqr Buzz Lead,87,88,100
Synth Lead,CM485,Ana Vox Lead,87,88,101
Synth Lead,CM486,CS Lead,87,88,102
Synth Lead,CM487,Classic GR,87,88,103
Synth Lead,CM488,Therasaw,87,88,104
Synth Lead,CM489,Bell Lead,87,88,105
Synth Lead,CM490,Bell Lead w,87,88,106
Synth Lead,CM491,Simple Tri,87,88,107
Synth Lead,CM492,Spooky Lead,87,88,108
Synth Lead,CM493,Soft Lead,87,88,109
Synth Lead,CM494,Sqr Lead 1,87,88,110
Synth Lead,CM495,Sqr Lead 2,87,88,111
Synth Lead,CM496,Sqr Lead 3,87,88,112
Synth Lead,CM497,Saw Lead 1,87,88,113
Synth Lead,CM498,Saw Lead 1 w,87,88,114
Synth Lead,CM499,Saw Lead 2,87,88,115
Synth Lead,CM500,Doctor Solo,87,88,116
Synth Lead,CM501,Natural Lead,87,88,117
Synth Lead,CM502,Sequenced Saw,87,88,118
Synth Lead,CM503,Sequenced Saw w,87,88,119
Synth Lead,CM504,Ah Super Saw,87,88,120
Synth Lead,CM505,Ah SuperSaw Dst1,87,88,121
Synth Lead,CM506,Ah SuperSaw Dst2,87,88,122
Synth Lead,CM507,Porta Super Saw,87,88,123
Synth Lead,CM508,S-Saw Stac Ld,87,88,124
Synth Lead,CM509,S-Saw Stac Ld w,87,88,125
Synth Lead,CM510,Tekno Lead 1 Atk,87,88,126
Synth Lead,CM511,Tekno Lead 1 Bit,87,88,127
Synth Lead,CM512,OSC-Sync Ld 1,87,88,128
Synth Lead,CM513,Wave Shape Ld,87,89,1
Synth Lead,CM514,Wave Shape Ld w,87,89,2
Synth Lead,CM515,Legato Tkno,87,89,3
Synth Lead,CM516,Legato Tkno w,87,89,4
Synth Lead,CM517,Tekno Lead 2,87,89,5
Synth Lead,CM518,Buzz Lead,87,89,6
Synth Lead,CM519,Buzz Lead Dist,87,89,7
Synth Lead,CM520,Saw Buzz Ld,87,89,8
Synth Lead,CM521,Saw Buzz Ld w,87,89,9
Synth Lead,CM522,Saw Lead 3,87,89,10
Synth Lead,CM523,Saw Lead 4,87,89,11
Synth Lead,CM524,Classic Lead,87,89,12
Synth Lead,CM525,Ramp Lead,87,89,13
Synth Lead,CM526,Saw Lead 5,87,89,14
Synth Lead,CM527,Jupiter Lead 1,87,89,15
Synth Lead,CM528,JupiterLead1 Atk,87,89,16
Synth Lead,CM529,Jupiter Lead 2,87,89,17
Synth Lead,CM530,Saw Lead 6,87,89,18
Synth Lead,CM531,On Air,87,89,19
Synth Lead,CM532,Saw Lead 7,87,89,20
Synth Lead,CM533,Saw Lead 8,87,89,21
Synth Lead,CM534,Warm Lead,87,89,22
Synth Lead,CM535,Saw Lead 9,87,89,23
Synth Lead,CM536,Saw Lead 10,87,89,24
Synth Lead,CM537,EQ Lead,87,89,25
Synth Lead,CM538,Saw Lead 11,87,89,26
Synth Lead,CM539,Saw Lead 12,87,89,27
Synth Lead,CM540,Waspy Lead,87,89,28
Synth Lead,CM541,Octa Square,87,89,29
Synth Lead,CM542,Octa Juice,87,89,30
Synth Lead,CM543,Fat GR Lead,87,89,31
Synth Lead,CM544,Octa Saw,87,89,32
Synth Lead,CM545,Juicy Lead,87,89,33
Synth Lead,CM546,OSC-Sync Ld 2,87,89,34
Synth Lead,CM547,OSC-Sync Ld 3,87,89,35
Synth Lead,CM548,Syn.Calliope,87,89,36
Synth Lead,CM549,Syn.Calliope w,87,89,37
Synth Lead,CM550,Syn.Calliope Dly,87,89,38
Synth Lead,CM551,Chiffer Lead,87,89,39
Synth Lead,CM552,Chiffer Lead w,87,89,40
Synth Lead,CM553,Charang,87,89,41
Synth Lead,CM554,Wire Lead,87,89,42
Synth Lead,CM555,Wire Lead Cho,87,89,43
Synth Lead,CM556,Solo Vox,87,89,44
Synth Lead,CM557,Solo Vox w,87,89,45
Synth Lead,CM558,Solo Vox Cho,87,89,46
Synth Lead,CM559,OB Lead,87,89,47
Synth Lead,CM560,5th Saw Lead,87,89,48
Synth Lead,CM561,5th Saw Lead Dly,87,89,49
Synth Lead,CM562,Housechord,87,89,50
Synth Lead,CM563,Ju-D Fifths,87,89,51
Synth Lead,CM564,Major 7,87,89,52
Synth Lead,CM565,Dance Saws 1,87,89,53
Synth Lead,CM566,Bass+Lead,87,89,54
Synth Lead,CM567,Bass+Lead w,87,89,55
Synth Lead,CM568,Delayed Lead,87,89,56
Synth Lead,CM569,Delayed Lead w,87,89,57
Synth Lead,CM570,Delayed Lead Cho,87,89,58
Synth Brass,PR087,SawsSynBrass,71,96,87
Synth Brass,PR088,DetuneSawBrs,71,96,88
Synth Brass,PR089,Mild SynBrass,71,96,89
Synth Brass,PR090,Silky JP,71,96,90
Synth Brass,PR091,FatSynBrass,71,96,91
Synth Brass,PR092,Soft Center,71,96,92
Synth Brass,PR093,Trad Syn Brass,71,96,93
Synth Brass,PR094,J-Pop Brass,71,96,94
Synth Brass,PR095,Brash!,71,96,95
Synth Brass,PR096,J-Brass For KY,71,96,96
Synth Brass,PR097,Neo SuperBrs,71,96,97
Synth Brass,PR098,Large Rave,71,96,98
Synth Brass,PR099,Invite Big Brass,71,96,99
Synth Brass,PR100,Horn Blast,71,96,100
Synth Brass,CM408,Synth Brass 1,87,88,24
Synth Brass,CM409,Synth Brass 3,87,88,25
Synth Brass,CM410,Synth Brass 3 w,87,88,26
Synth Brass,CM411,Analog Brass 1,87,88,27
Synth Brass,CM412,Analog Brass 1 w,87,88,28
Synth Brass,CM413,Analog Brs 1 w 2,87,88,29
Synth Brass,CM414,Jump Brass,87,88,30
Synth Brass,CM415,Jump Brass Amp,87,88,31
Synth Brass,CM416,JP8 Brass 1,87,88,32
Synth Brass,CM417,JP8 Brass 1 w,87,88,33
Synth Brass,CM418,Syn Brass,87,88,34
Synth Brass,CM419,Syn Brass w,87,88,35
Synth Brass,CM420,JP8 Brass 2,87,88,36
Synth Brass,CM421,80’s Brass 1,87,88,37
Synth Brass,CM422,80’s Brass 2,87,88,38
Synth Brass,CM423,Synth Brass 2,87,88,39
Synth Brass,CM424,Synth Brass 4,87,88,40
Synth Brass,CM425,Analog Brass 2,87,88,41
Synth Brass,CM426,Analog Brass 3,87,88,42
Synth Brass,CM427,Analog Brass 3 w,87,88,43
Synth Brass,CM428,Reso Brass,87,88,44
Synth Brass,CM429,Poly Brass,87,88,45
Synth Brass,CM430,Soft Brass,87,88,46
Synth Brass,CM431,FM Brass,87,88,47
Synth Brass,CM432,Warm Syn Brass,87,88,48
Synth Brass,CM433,Dual Saw Brass,87,88,49
Synth Brass,CM434,Soft Syn Brass,87,88,50
Synth Brass,CM435,Vintage Brass,87,88,51
Synth Brass,CM436,Vintage Brass w,87,88,52
Synth Brass,CM437,Euro Express,87,88,53
Synth Brass,CM438,Mix Brass,87,88,54
Synth Brass,CM439,Brite Syn Brass,87,88,55
Synth Brass,CM440,JP8 Brass 3,87,88,56
Synth Brass,CM441,Synth Brass 5,87,88,57
Synth Brass,CM442,80’s Brass 3,87,88,58
Synth Brass,CM443,80’s Brass 4,87,88,59
Synth Pad/Str,PR101,Legend Pad,71,96,101
Synth Pad/Str,PR102,New Jupiter,71,96,102
Synth Pad/Str,PR103,Chord Of Canada,71,96,103
Synth Pad/Str,PR104,Underscore BPF,71,96,104
Synth Pad/Str,PR105,Super SynPad,71,96,105
Synth Pad/Str,PR106,JP8 Slow Strings,71,96,106
Synth Pad/Str,PR107,Soft Warm Pad,71,96,107
Synth Pad/Str,PR108,Boreal Pad,71,96,108
Synth Pad/Str,PR109,Air Pad,71,96,109
Synth Pad/Str,PR110,Voice Heaven,71,96,110
Synth Pad/Str,PR111,Retro ChoirPad,71,96,111
Synth Pad/Str,PR112,Long Breath,71,96,112
Synth Pad/Str,PR113,SynthChord01 MC,71,96,113
Synth Pad/Str,PR114,Bright Counter,71,96,114
Synth Pad/Str,PR115,ReverseSweep,71,96,115
Synth Pad/Str,CM342,Syn Strings 1,87,87,86
Synth Pad/Str,CM343,Syn Strings 1 w,87,87,87
Synth Pad/Str,CM344,Syn Strings 3,87,87,88
Synth Pad/Str,CM345,Syn Strings 3 w,87,87,89
Synth Pad/Str,CM346,Syn Strings 2,87,87,90
Synth Pad/Str,CM347,Syn Strings 2 w,87,87,91
Synth Pad/Str,CM586,Warm Pad,87,89,74
Synth Pad/Str,CM587,Warm Pad Dly,87,89,75
Synth Pad/Str,CM588,Sine Pad,87,89,76
Synth Pad/Str,CM589,JP8 Strings 1,87,89,77
Synth Pad/Str,CM590,Soft Pad,87,89,78
Synth Pad/Str,CM591,JP8 Strings 2,87,89,79
Synth Pad/Str,CM592,JUNO Str,87,89,80
Synth Pad/Str,CM593,JUNO Str w,87,89,81
Synth Pad/Str,CM594,Oct Strings,87,89,82
Synth Pad/Str,CM595,Brite Str,87,89,83
Synth Pad/Str,CM596,Voyager,87,89,84
Synth Pad/Str,CM597,Voyager w,87,89,85
Synth Pad/Str,CM598,JP8 Strings 3,87,89,86
Synth Pad/Str,CM599,PWM Str 1,87,89,87
Synth Pad/Str,CM600,PWM Str 2,87,89,88
Synth Pad/Str,CM601,Fading Str,87,89,89
Synth Pad/Str,CM602,Vintage Str,87,89,90
Synth Pad/Str,CM603,Vintage Str Amp,87,89,91
Synth Pad/Str,CM604,Analog Str,87,89,92
Synth Pad/Str,CM618,Space Voice,87,89,106
Synth Pad/Str,CM619,Space Voice Dly,87,89,107
Synth Pad/Str,CM620,Itopia,87,89,108
Synth Pad/Str,CM621,Itopia Dly,87,89,109
Synth Pad/Str,CM622,JP8 Hollow 1,87,89,110
Synth Pad/Str,CM623,JP8 Hollow 2,87,89,111
Synth Pad/Str,CM624,Hollow Pad,87,89,112
Synth Pad/Str,CM625,Strobe Pad,87,89,113
Synth Pad/Str,CM626,Heaven Pad,87,89,114
Synth Pad/Str,CM627,Itopia w,87,89,115
Synth Pad/Str,CM628,Bowed Glass,87,89,116
Synth Pad/Str,CM629,Bowed Glass Dly,87,89,117
Synth Pad/Str,CM630,Brite Wine,87,89,118
Synth Pad/Str,CM631,Bell Pad,87,89,119
Synth Pad/Str,CM632,Wine Pad,87,89,120
Synth Pad/Str,CM633,Fine Wine Pad,87,89,121
Synth Pad/Str,CM634,Organ Pad,87,89,122
Synth Pad/Str,CM635,Brite Wine w,87,89,123
Synth Pad/Str,CM636,Metallic Pad,87,89,124
Synth Pad/Str,CM637,Metallic Pad Dly,87,89,125
Synth Pad/Str,CM638,Chime Pad,87,89,126
Synth Pad/Str,CM639,Halo Pad,87,89,127
Synth Pad/Str,CM640,Halo Pad w,87,89,128
Synth Pad/Str,CM641,Halo Pad Dly,87,90,1
Synth Pad/Str,CM642,Sweep Pad 1,87,90,2
Synth Pad/Str,CM643,Sweep Pad 1 Dly,87,90,3
Synth Pad/Str,CM644,Trns Sweep Pad w,87,90,4
Synth Pad/Str,CM645,Trns Sweep Pad,87,90,5
Synth Pad/Str,CM646,Giant Sweep,87,90,6
Synth Pad/Str,CM647,Sweep Pad 2 w,87,90,7
Synth Pad/Str,CM648,Sweep Pad 2,87,90,8
Synth Pad/Str,CM649,Reso Pad,87,90,9
Synth Pad/Str,CM650,Ice Rain,87,90,10
Synth Pad/Str,CM651,Ice Rain Dly,87,90,11
Synth Pad/Str,CM652,Healing Pad,87,90,12
Synth Pad/Str,CM653,Healing Pad w,87,90,13
Synth Pad/Str,CM654,Soundtrack,87,90,14
Synth Pad/Str,CM655,Soundtrack Dly,87,90,15
Synth Pad/Str,CM656,Random Str,87,90,16
